Name,Country,Link,Quotes
55 Tufton Street,United Kingdom,https://www.desmog.com/55-tufton-street/,
60 Plus Association,United States,https://www.desmog.com/60-plus-association/,"The bottom line is this: Global warming, by its very nature, requires global action. Action in one country, focused squarely on one energy source, is not the answer. Sound policy shouldn’t rest on the hope that other nations might follow our climate lead. Unless major emitting countries agree to sacrifice economic growth or energy security to reduce emissions, why should Americans?"
60 Plus Association,United States,https://www.desmog.com/60-plus-association/,"The global warming threat is the latest science fiction adventure. Senior citizens especially need to be diligent and concerned with the current efforts of politicians and bureaucrats seeking greater regulatory power by scare tactics over so-called global warming. The alarmists are using faulty science to reach untenable conclusions. If we allow the government to enact restrictive measures, whether by law or by a treaty agreed to by the U.S., we will face an energy crisis which will make the energy/oil crisis of the 1970s look like a minor league event."
60 Plus Association,United States,https://www.desmog.com/60-plus-association/,"Although global warming alarmists believe carbon dioxide and other man-made greenhouse gases contribute to global warming, they’ve never documented that case with hard science. In fact, CO2 is a vital component in the air we breathe and a life-necessity for every plant and animal on Planet Earth."
60 Plus Association,United States,https://www.desmog.com/60-plus-association/,"This is no time for political games. Climate change is not an immediate threat to humanity. Climate-related deaths have declined 98.9% in the last century, and humanity is growing more and more resilient thanks to the availability of affordable, reliable energy. On behalf of all Americans, we urge you to oppose any stimulus proposals that carve out special treatment for or bail out any energy companies and focus instead on stopping COVID-19."
60 Plus Association,United States,https://www.desmog.com/60-plus-association/,"These groups collectively are the heart and soul of climate denial,"
60 Plus Association,United States,https://www.desmog.com/60-plus-association/,"Instead of cutting U.S. energy production and driving up the cost of the domestic energy sources we rely on, we need to put affordable energy first,"
60 Plus Association,United States,https://www.desmog.com/60-plus-association/,"ccording to 60 Plus, “those who would impede the important work of this Committee and this Nation […] go under the names of groups like the Natural Resources Defense Council, and the Friends of The Earth with the help of organizations like MoveOn.org. These feel-good activists, both nationally and internationally, have done a simply marvelous job at swaying public opinion and building walls and roadblocks that stymie the vitality of the energy industry. And by and large, they’ve done it all with smoke and mirrors! Under the guise of something called ‘global warming’ […] his sort of anti-supply bias has to stop for the good of seniors and consumers of all ages. This wonderful country of ours has abundant energy wherewithal, much of it renewable, some of it biodegradable."
60 Plus Association,United States,https://www.desmog.com/60-plus-association/,"ccording to Zion, “The US must increase its domestic production of natural gas"
60 Plus Association,United States,https://www.desmog.com/60-plus-association/,"0 Plus Association515 King Street | Suite 315 | Alexandria, Virginia 22314703.807.2070 | 703.807.2073 (fax)[email protected"
Tony Abbott,Australia,https://www.desmog.com/tony-abbott/,"I think it is worth stating that the anthropogenic global warming thesis, at least in its more extreme forms, is both ahistorical and utterly implausible. And I think that needs to be repeated. Ladies and gentlemen, the climate cult will eventually be discredited."
Tony Abbott,Australia,https://www.desmog.com/tony-abbott/,"Sometimes, when I was feeling particularly bold, I would add things like this: you know, 10,000 years or so back we had an ice age. That was rather dramatic climate change, but presumably that had nothing to do with mankind’s carbon dioxide emissions."
